Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_33_947.jpg;0;0;1;0;99,66999;85,58897;0,0002333138;42,63376;-2,255662E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_33_982.jpg;0;0;0;0;99,66999;85,58897;0,0002333138;42,63376;-2,255662E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_050.jpg;0;0;0;0;99,66999;85,58897;0,0002333138;42,63376;-2,255662E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_116.jpg;0;0;0;0;99,66999;85,58897;0,0002333138;42,63376;-2,255662E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_183.jpg;1,957498;0;0;0;99,66999;85,58897;0,0002326636;42,86865;-3,015273E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_250.jpg;0;0;0;0;99,66999;85,58897;0,0002328718;42,86865;-2,691623E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_315.jpg;0;0;0;0;99,66999;85,58897;0,000233199;42,86865;-2,374219E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_380.jpg;0;0;0;0;99,66999;85,58897;0,0002335264;42,86865;-2,056816E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_448.jpg;0;0;0;0;99,66999;85,58897;0,0002341258;42,86865;-1,562499E-06
/home/yulivee/Projekte/RoboticsNanodegree/Term1/Search_and_Sample_Return/RoboND-Rover-Project/OwnData/IMG/robocam_2017_05_29_20_15_34_517.jpg;0;0;0;0;99,66999;85,58897;0,0002346914;42,86865;-1,257595E-06
